Date,Open,High,Low,Close
12/04/2022,"1,260.89","1,282.29","1,238.00","1,277.23"
12/03/2022,"1,291.21","1,303.19","1,255.81","1,260.76"
12/02/2022,"1,276.85","1,296.25","1,266.38","1,290.99"
12/01/2022,"1,296.99","1,305.67","1,263.68","1,276.85"
11/30/2022,"1,219.38","1,299.77","1,212.15","1,296.99"
11/29/2022,"1,172.32","1,225.15","1,158.48","1,219.38"
11/28/2022,"1,215.05","1,216.62","1,150.38","1,172.11"
11/27/2022,"1,209.93","1,222.21","1,197.00","1,216.21"
11/26/2022,"1,199.07","1,229.93","1,195.54","1,209.93"
11/25/2022,"1,195.20","1,204.96","1,171.43","1,199.67"
11/24/2022,"1,168.79","1,215.22","1,167.83","1,195.20"
11/23/2022,"1,129.80","1,187.60","1,125.54","1,168.79"
11/22/2022,"1,093.18","1,139.85","1,076.05","1,130.19"
11/21/2022,"1,140.83","1,152.39","1,080.00","1,092.64"
11/20/2022,"1,210.00","1,230.91","1,136.94","1,139.38"
11/19/2022,"1,208.74","1,212.50","1,197.11","1,210.00"
11/18/2022,"1,205.70","1,228.45","1,196.13","1,208.80"
11/17/2022,"1,206.04","1,226.63","1,183.07","1,205.70"
11/16/2022,"1,244.55","1,266.38","1,186.25","1,206.04"
11/15/2022,"1,226.14","1,290.49","1,212.90","1,244.39"
11/14/2022,"1,215.00","1,287.46","1,173.80","1,226.43"
11/13/2022,"1,255.80","1,271.34","1,202.53","1,216.60"
11/12/2022,"1,265.94","1,291.02","1,237.34","1,255.72"
11/11/2022,"1,320.71","1,325.99","1,203.14","1,265.94"
11/10/2022,"1,105.06","1,346.59","1,074.18","1,320.71"
11/09/2022,"1,331.12","1,343.65","1,102.21","1,105.81"
11/08/2022,"1,575.00","1,577.13","1,230.93","1,335.07"
11/07/2022,"1,604.05","1,608.20","1,547.00","1,575.70"
11/06/2022,"1,631.71","1,639.09","1,603.30","1,604.04"
11/05/2022,"1,646.01","1,663.76","1,624.04","1,631.71"
11/04/2022,"1,541.15","1,674.39","1,525.40","1,647.04"
11/03/2022,"1,511.44","1,559.00","1,502.38","1,541.15"
11/02/2022,"1,575.51","1,619.41","1,503.47","1,513.45"
11/01/2022,"1,566.34","1,609.22","1,552.03","1,575.52"
10/31/2022,"1,595.49","1,634.39","1,551.93","1,566.34"
