iter	Logloss
0	0.6913727697
1	0.6896278664
2	0.6876807081
3	0.6857196733
4	0.6839341949
5	0.682068047
6	0.6803072555
7	0.6783717292
8	0.6764724963
9	0.6745913938
10	0.6728598249
11	0.671112665
12	0.6693686768
13	0.6676503252
14	0.6659987162
15	0.6643185264
16	0.6624615847
17	0.6607644916
18	0.6590314073
19	0.6571323066
20	0.655761023
21	0.6540984084
22	0.6524480043
23	0.650814224
24	0.6492160251
25	0.6476016795
26	0.6457065537
27	0.6440985062
28	0.6424286933
29	0.6405606065
30	0.6389895502
31	0.6374116553
32	0.6357778463
33	0.6340394079
34	0.632209392
35	0.6304252123
36	0.6288542253
37	0.6272935976
38	0.6254779581
39	0.6239430253
40	0.6223783501
41	0.6207338435
42	0.6190057932
43	0.6174676146
44	0.6159587298
45	0.6144437099
46	0.612871528
47	0.6113313243
48	0.6098340985
49	0.6083481734
50	0.6067579264
51	0.605180219
52	0.6036680819
53	0.6020883389
54	0.6006383294
55	0.5991004149
56	0.5977025555
57	0.5961212267
58	0.594611507
59	0.5933356412
60	0.5918482757
61	0.5904505836
62	0.5888873981
63	0.5872389916
64	0.5857094475
65	0.5842014789
66	0.5827425811
67	0.5812998756
68	0.5798523628
69	0.5782455373
70	0.5769170107
71	0.5754756688
72	0.5740933035
73	0.5725819664
74	0.5710544866
75	0.5696784689
76	0.5683441505
77	0.5667521726
78	0.5652123932
79	0.5635495643
80	0.5621829881
81	0.5607906413
82	0.5593655719
83	0.5579105036
84	0.5566251279
85	0.5552932001
86	0.5537999443
87	0.5525358391
88	0.5510273731
89	0.5497346247
90	0.5483523215
91	0.5468869728
92	0.5454969708
93	0.5441482688
94	0.5427771691
95	0.5413493751
96	0.5400779323
97	0.5388388396
98	0.537672099
99	0.5364524008
100	0.535101867
101	0.5337431125
102	0.5323432695
103	0.5311225191
104	0.5301066825
105	0.5288841558
106	0.5276380527
107	0.526502483
108	0.5252541535
109	0.5239750386
110	0.5226225447
111	0.5213275074
112	0.5202650306
113	0.51901071
114	0.5176700329
115	0.5164824634
116	0.5151352349
117	0.5138288694
118	0.5126697561
119	0.5113369059
120	0.5102362185
121	0.5090855806
122	0.5079308026
123	0.5066219381
124	0.5052953546
125	0.504161752
126	0.5029847561
127	0.5018655618
128	0.5007402024
129	0.4995200635
130	0.4982124925
131	0.4970611487
132	0.495963378
133	0.4946407006
134	0.4934670494
135	0.4923948444
136	0.4913038544
137	0.4900780153
138	0.4888591781
139	0.4877649269
140	0.4869166088
141	0.4858525423
142	0.4847910529
143	0.4835510231
144	0.4823553636
145	0.4810773126
146	0.4798593355
147	0.4787400214
148	0.4775714372
149	0.4764801429
150	0.4751970651
151	0.4741338365
152	0.4730461173
153	0.4719300426
154	0.4709005188
155	0.4697390414
156	0.4687870233
157	0.4678850377
158	0.4667309626
159	0.4656073311
160	0.4646171954
161	0.4635684829
162	0.4624731888
163	0.4615861953
164	0.4605342557
165	0.459383781
166	0.4583574043
167	0.4573399636
168	0.4563554596
169	0.4554127094
170	0.4543782247
171	0.4533459466
172	0.4522886238
173	0.4511462944
174	0.4500123141
175	0.4488774717
176	0.447852956
177	0.4467264249
178	0.4457858734
179	0.4449054353
180	0.4438822999
181	0.442946653
182	0.4419419257
183	0.4408536493
184	0.4398767034
185	0.4388894828
186	0.437881653
187	0.436784962
188	0.435746942
189	0.4347518459
190	0.4337989845
191	0.4328961847
192	0.4318143095
193	0.4308988928
194	0.4299837118
195	0.4290497064
196	0.4281440108
197	0.4270671617
198	0.4260172739
199	0.4249797452
200	0.4240828802
201	0.423117373
202	0.4220998127
203	0.4211232704
204	0.4202312901
205	0.4193452877
206	0.4183963389
207	0.4174680808
208	0.4166251955
209	0.4158390154
210	0.4149577473
211	0.4139649797
212	0.4131578115
213	0.4122931606
214	0.4114198892
215	0.4105485437
216	0.4097344601
217	0.4088555262
218	0.4080601962
219	0.4072566466
220	0.4063888593
221	0.4055919725
222	0.4045986135
223	0.4038864437
224	0.4030339392
225	0.402235781
226	0.4013848869
227	0.400536852
228	0.3995947126
229	0.3986674542
230	0.3978928498
231	0.3970240434
232	0.3961881685
233	0.3954066178
234	0.3944566072
235	0.3934977256
236	0.3925612437
237	0.3916907058
238	0.3907751197
239	0.3900506615
240	0.3891481411
241	0.3882314726
242	0.3873044112
243	0.3864670847
244	0.3857291174
245	0.3849358579
246	0.3841611042
247	0.3834057885
248	0.382628511
249	0.3818592888
250	0.3810506881
251	0.3802451177
252	0.3794977578
253	0.3787055578
254	0.3779144145
255	0.3771674747
256	0.3763462195
257	0.3756148271
258	0.3748816127
259	0.3740515562
260	0.3732061475
261	0.3723770347
262	0.3716616712
263	0.3707722599
264	0.3700549602
265	0.3693568934
266	0.3686202421
267	0.3677991814
268	0.3671013998
269	0.3663871148
270	0.3656579015
271	0.3649494244
272	0.364214993
273	0.3634020414
274	0.3626988483
275	0.3618880567
276	0.361024589
277	0.3602573383
278	0.3594828666
279	0.3587804562
280	0.357985982
281	0.3573514414
282	0.3566698832
283	0.3560172808
284	0.3551320454
285	0.3544211867
286	0.3536590753
287	0.3529159042
288	0.3523041227
289	0.3516311901
290	0.3509527757
291	0.3503319975
292	0.3496615915
293	0.3490293656
294	0.3483637643
295	0.3477317971
296	0.3471048885
297	0.3464778972
298	0.345818207
299	0.3450672246
