iter	Logloss
0	0.6931462135
1	0.6931462135
2	0.6931462135
3	0.6931462135
4	0.6931462135
5	0.6931462135
6	0.6931462135
7	0.6931462135
8	0.6931462135
9	0.6931462135
10	0.6931462135
11	0.6931462135
12	0.6931462135
13	0.6931462135
14	0.6931462135
15	0.6931462135
16	0.6931462135
17	0.6931462135
18	0.6931462135
19	0.6931462135
20	0.6931462135
21	0.6931462135
22	0.6931462135
23	0.6931462135
24	0.6931462135
25	0.6931462135
26	0.6931462135
27	0.6931462135
28	0.6931462135
29	0.6931462135
30	0.6931462135
31	0.6931462135
32	0.6931462135
33	0.6931462135
34	0.6931462135
35	0.6931462135
36	0.6931462135
37	0.6931462135
38	0.6931462135
39	0.6931462135
40	0.6931462135
41	0.6931462135
42	0.6931462135
43	0.6931462135
44	0.6931462135
45	0.6931462135
46	0.6931462135
47	0.6931462135
48	0.6931462135
49	0.6931462135
50	0.6931462135
51	0.6931462135
52	0.6931462135
53	0.6931462135
54	0.6931462135
55	0.6931462135
56	0.6931462135
57	0.6931462135
58	0.6931462135
59	0.6931462135
60	0.6931462135
61	0.6931462135
62	0.6931462135
63	0.6931462135
64	0.6931462135
65	0.6931462135
66	0.6931462135
67	0.6931462135
68	0.6931462135
69	0.6931462135
70	0.6931462135
71	0.6931462135
72	0.6931462135
73	0.6931462135
74	0.6931462135
75	0.6931462135
76	0.6931462135
77	0.6931462135
78	0.6931462135
79	0.6931462135
80	0.6931462135
81	0.6931462135
82	0.6931462135
83	0.6931462135
84	0.6931462135
85	0.6931462135
86	0.6931462135
87	0.6931462135
88	0.6931462135
89	0.6931462135
90	0.6931462135
91	0.6931462135
92	0.6931462135
93	0.6931462135
94	0.6931462135
95	0.6931462135
96	0.6931462135
97	0.6931462135
98	0.6931462135
99	0.6931462135
100	0.6931462135
101	0.6931462135
102	0.6931462135
103	0.6931462135
104	0.6931462135
105	0.6931462135
106	0.6931462135
107	0.6931462135
108	0.6931462135
109	0.6931462135
110	0.6931462135
111	0.6931462135
112	0.6931462135
113	0.6931462135
114	0.6931462135
115	0.6931462135
116	0.6931462135
117	0.6931462135
118	0.6931462135
119	0.6931462135
120	0.6931462135
121	0.6931462135
122	0.6931462135
123	0.6931462135
124	0.6931462135
125	0.6931462135
126	0.6931462135
127	0.6931462135
128	0.6931462135
129	0.6931462135
130	0.6931462135
131	0.6931462135
132	0.6931462135
133	0.6931462135
134	0.6931462135
135	0.6931462135
136	0.6931462135
137	0.6931462135
138	0.6931462135
139	0.6931462135
140	0.6931462135
141	0.6931462135
142	0.6931462135
143	0.6931462135
144	0.6931462135
145	0.6931462135
146	0.6931462135
147	0.6931462135
148	0.6931462135
149	0.6931462135
150	0.6931462135
151	0.6931462135
152	0.6931462135
153	0.6931462135
154	0.6931462135
155	0.6931462135
156	0.6931462135
157	0.6931462135
158	0.6931462135
159	0.6931462135
160	0.6931462135
161	0.6931462135
162	0.6931462135
163	0.6931462135
164	0.6931462135
165	0.6931462135
166	0.6931462135
167	0.6931462135
168	0.6931462135
169	0.6931462135
170	0.6931462135
171	0.6931462135
172	0.6931462135
173	0.6931462135
174	0.6931462135
175	0.6931462135
176	0.6931462135
177	0.6931462135
178	0.6931462135
179	0.6931462135
180	0.6931462135
181	0.6931462135
182	0.6931462135
183	0.6931462135
184	0.6931462135
185	0.6931462135
186	0.6931462135
187	0.6931462135
188	0.6931462135
189	0.6931462135
190	0.6931462135
191	0.6931462135
192	0.6931462135
193	0.6931462135
194	0.6931462135
195	0.6931462135
196	0.6931462135
197	0.6931462135
198	0.6931462135
199	0.6931462135
